Entity,Year,Deaths - Household air pollution from solid fuels 
Thailand,2010,12.72592868
Thailand,2011,11.45199064
Thailand,2012,10.16950321
Thailand,2013,9.06532348
Thailand,2014,8.408271972
Thailand,2015,7.82472787
Thailand,2016,7.307369917
Thailand,2017,6.704581833
Vietnam,1990,78.94750741
Vietnam,1991,77.17609854
Vietnam,1992,75.06324075
Vietnam,1993,73.03853679
Vietnam,1994,70.51727864
Vietnam,1995,68.09512609
Vietnam,1996,65.61521537
Vietnam,1997,63.5959165
Vietnam,1998,61.62981564
Vietnam,1999,60.14925814
Vietnam,2000,59.0392924
Vietnam,2001,57.24022132
Vietnam,2002,55.43741873
Vietnam,2003,53.28866832
Vietnam,2004,51.53978367
Vietnam,2005,49.01383122
Vietnam,2006,46.66921162
Vietnam,2007,43.82760671
Vietnam,2008,41.39756288
Vietnam,2009,39.09192416
Vietnam,2010,36.32440745
Vietnam,2011,34.26345955
Vietnam,2012,32.21568533
Vietnam,2013,30.24571393
Vietnam,2014,28.94447709
Vietnam,2015,27.90767324
Vietnam,2016,27.06441307
Vietnam,2017,25.63626388
